	CRISPR-SMPL-1	CRISPR-CNTRL-1	CRISPR-SMPL-2	CRISPR-CNTRL-2	CRISPR-SMPL-3	CRISPR-CNTRL-3
gRNA-No-00001	28	63	45	288	56	66
gRNA-No-00002	17	9	5	33	13	21
gRNA-No-00004	453	688	217	1203	359	356
gRNA-No-00005	193	225	84	580	132	109
gRNA-No-00006	206	172	87	373	215	218
gRNA-No-00007	1	0	0	0	0	7
gRNA-No-00008	44	78	10	57	50	67
gRNA-No-42672	33	67	20	163	22	32
gRNA-No-00010	30	85	14	247	84	104
gRNA-No-00014	0	0	0	0	0	0
gRNA-No-21596	175	217	121	710	286	244
gRNA-No-00016	219	341	97	497	299	258
gRNA-No-00017	391	305	223	855	241	184
gRNA-No-00018	41	55	20	72	40	43
gRNA-No-00019	95	127	17	86	19	8
gRNA-No-00020	114	97	61	374	148	100
gRNA-No-00099	29	85	35	194	68	83
gRNA-No-21634	0	3	2	3	11	9
gRNA-No-00023	6	3	6	51	0	1
gRNA-No-00024	161	205	67	348	179	157
gRNA-No-21645	161	142	104	389	172	108
gRNA-No-00026	13	40	20	162	37	42
gRNA-No-25701	0	0	0	0	0	0
gRNA-No-00028	14	22	4	45	1	0
gRNA-No-00029	330	493	137	708	182	204
gRNA-No-00031	0	0	0	0	0	0
gRNA-No-00032	64	103	34	226	103	65
gRNA-No-00033	17	42	52	204	118	78
gRNA-No-00034	97	278	48	436	83	199
gRNA-No-44370	74	87	75	287	172	171
gRNA-No-00036	127	156	82	558	305	201
gRNA-No-00037	86	109	88	323	101	104
gRNA-No-00038	65	66	76	323	109	70
gRNA-No-00039	12	14	33	196	19	36
gRNA-No-13039	62	81	97	345	96	71
gRNA-No-43333	35	68	9	86	5	8
gRNA-No-22042	0	0	0	0	0	0
gRNA-No-00042	76	154	40	271	139	119
gRNA-No-43334	52	67	22	104	2	6
gRNA-No-00044	519	551	105	902	337	417
gRNA-No-00045	0	0	0	0	0	0
gRNA-No-00046	14	20	25	118	36	32
gRNA-No-00047	8	15	26	159	22	8
gRNA-No-00048	79	131	13	204	25	52
gRNA-No-00049	0	2	1	2	0	0
gRNA-No-00050	33	48	44	136	137	113
gRNA-No-00051	64	72	44	220	144	161
gRNA-No-00052	7	19	1	16	6	4
gRNA-No-37435	38	56	34	140	94	86
gRNA-No-18841	1	5	2	18	2	3
gRNA-No-08725	0	0	0	0	0	0
gRNA-No-00057	3	9	3	21	27	14
gRNA-No-00058	88	153	18	194	133	234
gRNA-No-19082	1	1	0	0	0	0
gRNA-No-00061	72	124	28	310	91	79
gRNA-No-00062	109	135	125	478	66	44
gRNA-No-08729	8	12	3	37	3	6
gRNA-No-00064	0	0	0	0	0	0
gRNA-No-00065	35	36	9	51	14	17
gRNA-No-00066	24	43	9	16	122	145
gRNA-No-00067	23	211	26	489	41	147
gRNA-No-00069	48	79	31	231	90	115
gRNA-No-00070	82	187	30	262	105	151
gRNA-No-00071	1	3	0	2	0	4
gRNA-No-00072	89	344	55	804	130	327
gRNA-No-00073	0	2	0	12	0	1
gRNA-No-00074	17	191	19	257	29	190
gRNA-No-00075	0	19	2	24	3	4
gRNA-No-00076	0	0	2	26	3	4
